Designator,Mid X,Mid Y,Rotation,Layer
C1,135.5,-88.5,-90.0,bottom
C10,104.0,-81.5,0.0,bottom
C11,128.675,-103.0,180.0,bottom
C2,127.0,-73.5,0.0,bottom
C5,117.0,-76.5,90.0,bottom
C6,129.5,-82.5,-90.0,bottom
C7,105.0,-76.5,-90.0,bottom
C8,112.0,-76.5,-90.0,bottom
C9,104.0,-84.0,0.0,bottom
D1,114.0,-95.0,180.0,top
D2,114.0,-93.0,180.0,top
D3,114.0,-91.0,180.0,top
D4,114.0,-89.0,180.0,top
D5,94.2125,-70.0,180.0,top
D6,106.7125,-56.5,0.0,top
D7,121.0,-107.0,-90.0,top
D8,110.5,-65.0,0.0,bottom
J1,116.5,-98.5,180.0,top
J2,98.5,-56.45,0.0,top
J3,105.46,-88.0,90.0,top
J4,117.175,-103.0,90.0,top
J5,97.85,-115.0,-90.0,top
J6,102.5,-96.5,90.0,top
J7,93.5,-66.75,90.0,top
J8,109.0,-96.5,90.0,top
P1,113.05,-66.5,90.0,top
R1,119.0,-69.0,180.0,bottom
R10,128.675,-105.0,0.0,bottom
R11,97.5,-70.0,180.0,bottom
R12,105.0,-59.5,90.0,bottom
R13,121.0,-103.5,-90.0,bottom
R14,102.5,-59.5,-90.0,bottom
R2,105.5,-93.5,-90.0,bottom
R3,99.5,-65.5,0.0,bottom
R4,99.5,-64.0,0.0,bottom
R5,117.0,-95.0,180.0,bottom
R6,117.0,-93.0,180.0,bottom
R7,117.0,-91.0,180.0,bottom
R8,117.0,-89.0,180.0,bottom
R9,125.675,-105.0,0.0,bottom
SW1,119.0,-72.0,90.0,top
SW2,106.0,-67.5,180.0,top
SW3,106.0,-63.5,180.0,top
U1,123.5,-80.0,90.0,bottom
U2,131.0,-88.5,180.0,bottom
U3,109.0,-76.5,0.0,bottom
X1,124.0,-88.0,0.0,bottom
